source,target,value
 48;9;96(1),NoHCC(2),1
 54;79(1),NoHCC(2),1
 54;9(1),NoHCC(2),1
 54;96(1),NoHCC(2),1
 55;57(1),NoHCC(2),3
 55;58(1),NoHCC(2),1
 55;58;78(1),NoHCC(2),1
 55;85(1),NoHCC(2),1
 57;96(1),NoHCC(2),1
 58;72(1),NoHCC(2),1
 58;79(1),NoHCC(2),2
 58;85(1),NoHCC(2),1
 58;88(1),NoHCC(2),1
 6;85(1),NoHCC(2),1
 70;74(1),NoHCC(2),1
 70;9(1),NoHCC(2),1
 72;77(1),NoHCC(2),1
 78;79(1),NoHCC(2),2
 78;85(1),NoHCC(2),1
 79;80;84(1),NoHCC(2),2
 79;84(1),NoHCC(2),1
 79;96(1),NoHCC(2),1
 79;99(1),NoHCC(2),2
 8;80(1),NoHCC(2),3
 8;96(1),NoHCC(2),3
 80;82;99(1),NoHCC(2),1
 80;83(1),NoHCC(2),1
 80;84(1),NoHCC(2),1
 80;9(1),NoHCC(2),1
 80;99(1),NoHCC(2),4
 82;96(1),NoHCC(2),1
 82;99(1),NoHCC(2),1
 84;85(1),NoHCC(2),11
 84;85;86;96(1),NoHCC(2),1
 84;85;87(1),NoHCC(2),2
 84;85;87;96(1),NoHCC(2),1
 84;85;96(1),NoHCC(2),14
 84;86(1),NoHCC(2),1
 84;87(1),NoHCC(2),1
 84;87;96(1),NoHCC(2),1
 84;9(1),NoHCC(2),2
 84;9;96(1),NoHCC(2),1
 84;96(1),NoHCC(2),15
 84;96;99(1),NoHCC(2),1
 85;86(1),NoHCC(2),5
 85;87(1),NoHCC(2),8
 85;87;96(1),NoHCC(2),3
 85;88(1),NoHCC(2),1
 85;9(1),NoHCC(2),1
 85;96(1),NoHCC(2),36
 85;99(1),NoHCC(2),1
 86;96(1),NoHCC(2),1
 87;96(1),NoHCC(2),5
 9;96(1),NoHCC(2),3
 96;99(1),NoHCC(2),3
1(1),NoHCC(2),4
10(1), 10;99(2),1
10(1),10(2),9
10(1),NoHCC(2),96
100(1),NoHCC(2),107
103(1),NoHCC(2),2
104(1),NoHCC(2),2
106(1),NoHCC(2),22
107(1),NoHCC(2),35
108(1),108(2),2
108(1),NoHCC(2),251
11(1),10(2),1
11(1),108(2),1
11(1),11(2),2
11(1),NoHCC(2),112
110(1),NoHCC(2),5
111(1),111(2),1
111(1),NoHCC(2),105
112(1),112(2),1
112(1),NoHCC(2),106
114(1),NoHCC(2),3
115(1),NoHCC(2),1
12(1), 169;170(2),1
12(1),108(2),1
12(1),111(2),1
12(1),112(2),1
12(1),12(2),4
12(1),NoHCC(2),269
122(1),NoHCC(2),4
124(1),NoHCC(2),20
134(1),NoHCC(2),13
135(1),NoHCC(2),19
136(1),NoHCC(2),69
161(1),NoHCC(2),16
167(1),NoHCC(2),4
169(1),NoHCC(2),22
170(1),NoHCC(2),33
176(1),NoHCC(2),32
18(1),NoHCC(2),33
186(1), 12;77(2),1
186(1),186(2),1
186(1),NoHCC(2),47
188(1),NoHCC(2),11
189(1),NoHCC(2),4
